,Publishers
Astronomy and Astrophysics Review,2
Acoustical Society of America Journal,2
Physica Scripta Volume T,2
Applied Water Science,2
Advances in Space Research,2
Journal of Materials Research,2
Acta Mechanica Sinica,2
Journal of Fluids and Structures,2
Physical Review C,2
Opto-Electronics Review,2
Photonic Sensors,2
Plasma Physics Reports,2
Advances in Natural Sciences: Nanoscience and Nanotechnology,2
Nature Scientific Data,2
Science of the Total Environment,2
Astronomy and Geophysics,2
Comptes Rendus Mecanique,2
American Geophysical Union,2
Radiation Physics and Chemistry,2
Science China Physics, Mechanics, and Astronomy,2
Progress In Surface Science,2
Comptes Rendus Geoscience,2
Molecular Physics,2
International Journal of Non Linear Mechanics,2
Polar Science,2
Optical Review,2
Journal of Non Crystalline Solids,2
Frontiers in Chemistry,2
Ocean Modelling,2
IEEE Transactions on Image Processing,2
EGU General Assembly Conference Abstracts,2
Annalen der Physik,2
Annals of Physics,2
Physics Uspekhi,2
Journal of Micromechanics and Microengineering,2
ISPRS Journal of Photogrammetry and Remote Sensing,2
Communications Physics,2
Natural Hazards and Earth System Sciences,2
Earth System Dynamics,2
Brazilian Journal of Physics,2
Journal of Sea Research,2
APL Materials,2
Surface Science Reports,2
npj Computational Mathematics,2
Nature Astronomy,2
Journal of Breath Research,2
Astronomical School's Report,1
Titan from Cassini-Huygens,1
An Introduction to Quantum Monte Carlo Methods,1
Magnetic Fields throughout Stellar Evolution,1
European Journal of Physics,1
Shock Waves,1
Journal of Asian Earth Sciences,1
Research in Science and Technological Education,1
Hyperfine Interactions,1
Fundamentals of Sum-Frequency Spectroscopy,1
International Journal of Theoretical Physics,1
International Journal of Biometeorology,1
Journal of Molecular Evolution,1
Medical Physics,1
Pathways Towards Habitable Planets,1
Multiphoton Microscopy in the Biomedical Sciences X,1
Dynamical Processes on Complex Networks,1
Optical Fiber Technology,1
Physical Review Research,1
Acta Oecologica,1
2nd International Conference on Emerging Technologies: Micro to Nano 2015 (ETMN-2015): Contributory papers presented in 2nd International Conference on Emerging Technologies: Micro to Nano 2015,1
2011 Physics Education Research Conference,1
Journal of Cosmology and Astroparticle Physics,1
Asteroids IV,1
European Physical Journal H,1
Physics of the Earth and Planetary Interiors,1
Journal of Sensors and Sensor Systems,1
European Planetary Science Congress,1
Sustainability,1
Challenges,1
ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences,1
Nonlinear Processes in Geophysics,1
Nuclear Physics B,1
Applied Mathematics and Computer Science,1
Microgravity Science and Technology,1
Physiological Measurement,1
Space Weather,1
